obs_time,valid_time,lead_hour_from_case_start,lon,lat,platform_id,platform_type,obs_wind_speed,obs_wind_dir,gdas_model_step_hour,gdas_wind_speed,gdas_wind_dir,gdas_u10,gdas_v10,era5lagged_model_step_hour,era5lagged_wind_speed,era5lagged_wind_dir,era5lagged_u10,era5lagged_v10,time_diff_minutes,distance_to_typhoon_center_km,azimuth_from_typhoon_center_deg,radius_bin,quadrant,gdas_speed_error,era5lagged_speed_error,gdas_direction_error,era5lagged_direction_error,gdas_abs_error,era5lagged_abs_error,gdas_sq_error,era5lagged_sq_error,coarse_radius_bin,forecast_period
2025-07-19 06:00:00,2025-07-19 06:00:00,54,119.3,16.3,YRZSQRB,5.0,6.0,230.0,54,12.392956167523968,242.585440700998,11.00120756149293,5.706031436920161,174,19.315611764158437,205.40418779977443,8.286419811248793,17.44786819458008,0.0,456.0212771525253,178.65780367769855,400-600 km,rear_left,6.392956167523968,13.315611764158437,12.58544070099802,24.595812200225566,6.392956167523968,13.315611764158437,40.86988855988274,177.30551665379454,400-600 km,48-72 h
2025-07-19 09:00:00,2025-07-19 09:00:00,57,117.62,23.14,EVH28KM,5.0,14.2,25.0,57,9.640843402353264,54.237581498391705,-7.823036642074584,-5.634355260849006,177,9.398642272831433,66.49394791480245,-8.618723668670652,-3.748610261917113,0.0,289.5334982523692,339.74553826427086,200-400 km,front_right,-4.559156597646735,-4.801357727168567,29.237581498391705,41.49394791480245,4.559156597646735,4.801357727168567,20.78590888186576,23.053036024241305,0-400 km,48-72 h
2025-07-19 09:00:00,2025-07-19 09:00:00,57,120.22,24.27,LED82EE,5.0,5.7,245.0,57,3.814103485245396,43.06584627541304,-2.604416345214845,-2.7864674584388784,177,3.677072660997037,48.09912886480947,-2.736850301170351,-2.4557104436874444,0.0,430.431119645809,22.442289434666638,400-600 km,front_right,-1.885896514754604,-2.022927339002963,158.06584627541304,163.09912886480947,1.885896514754604,2.022927339002963,3.5566056643635626,4.092235018885609,400-600 km,48-72 h
2025-07-19 09:00:00,2025-07-19 09:00:00,57,123.4,17.9,VRCG8,5.0,16.0,180.0,57,13.6739593360967,167.93036289039054,-2.85923001766204,13.371685295104967,177,13.758303215669809,162.2472942953623,-4.195034246444697,13.103152103424058,0.0,592.1191482000554,120.90746686094984,400-600 km,rear_left,-2.3260406639032993,-2.241696784330191,12.06963710960946,17.75270570463769,2.3260406639032993,2.241696784330191,5.410465170131702,5.02520447287632,400-600 km,48-72 h
2025-07-19 09:00:00,2025-07-19 09:00:00,57,117.6,23.1,VRFS2,5.0,20.6,30.0,57,9.547486012741794,54.61798334861157,-7.784156751632697,-5.528235960006711,177,9.345996692511864,66.97982417043085,-8.601748867034917,-3.654801034927377,0.0,286.1123501140713,339.04821676192506,200-400 km,front_right,-11.052513987258207,-11.254003307488137,24.61798334861157,36.979824170430845,11.052513987258207,11.254003307488137,122.15806543853832,126.65259044495393,0-400 km,48-72 h
2025-07-19 09:00:00,2025-07-19 09:00:00,57,119.62,16.77,YRZSQRB,5.0,5.1,240.0,57,12.59782694179984,232.6802286902752,10.018602306365947,7.637594613647468,177,17.92851308728048,189.38712906518975,2.9242181932449087,17.68842925415038,0.0,449.9957633749435,166.0241463349555,400-600 km,rear_left,7.49782694179984,12.828513087280479,7.319771309724814,50.61287093481022,7.49782694179984,12.828513087280479,56.217408849179535,164.57074803052652,400-600 km,48-72 h
2025-07-19 12:00:00,2025-07-19 12:00:00,60,118.1,23.6,EVH28KM,5.0,12.0,20.0,60,8.9816637084068,51.68049185387025,-7.046701698303217,-5.569046430587767,180,8.123587683787632,62.68596278310031,-7.2178469657898,-3.727648324966437,0.0,271.7720698245439,10.807993430564297,200-400 km,front_right,-3.018336291593201,-3.8764123162123685,31.68049185387025,42.68596278310031,3.018336291593201,3.8764123162123685,9.110353969148596,15.02657244528294,0-400 km,48-72 h
2025-07-19 12:00:00,2025-07-19 12:00:00,60,120.4,24.8,LED82EE,5.0,1.0,260.0,60,7.116276535749705,70.94425994284552,-6.726314544677734,-2.323377795219407,180,8.130976376845643,68.29361693393241,-7.554420013427731,-3.007243771553024,0.0,492.2745385049671,35.06317599461897,400-600 km,rear_right,6.116276535749705,7.130976376845643,170.94425994284552,168.2936169339324,6.116276535749705,7.130976376845643,37.40883866176242,50.85082408713062,400-600 km,48-72 h
2025-07-19 12:00:00,2025-07-19 12:00:00,60,122.8,22.9,V7UX2,5.0,11.8,110.0,60,11.51021671372336,125.1102515755515,-9.415896205902095,6.620119895935055,180,11.133934289261298,119.93064928276527,-9.649001121520993,5.55529208183288,0.0,568.2297440321682,69.60734742746888,400-600 km,rear_right,-0.2897832862766414,-0.6660657107387031,15.1102515755515,9.930649282765271,0.2897832862766414,0.6660657107387031,0.08397435300528991,0.4436435310218538,400-600 km,48-72 h
2025-07-19 12:00:00,2025-07-19 12:00:00,60,122.5,19.2,VRCG8,5.0,7.7,160.0,60,12.45968463414708,148.1191249306798,-6.580643796920777,10.580116653442383,180,14.77939023036074,143.42251957964925,-8.8071759223938,11.868615245819091,0.0,557.5592349921102,112.64446956255097,400-600 km,rear_left,4.759684634147081,7.0793902303607394,11.880875069320211,16.577480420350753,4.759684634147081,7.0793902303607394,22.65459781653583,50.11776603372709,400-600 km,48-72 h
